TranscriptionId	Channels	Channel	StartTime	EndTime	SegmentDuration	Transcription	RecordingId	Domain	Duration	SampleRate	BitDepth	RelativeFileName	LeftChannelSpeakerId	LeftChannelNative	LeftChannelRole	LeftChannelSpeakerAge	LeftChannelSpeakerGender	LeftChannelSpeakerLivingCountry	LeftChannelSpeakerAccent	RightChannelSpeakerId	RightChannelNative	RightChannelRole	RightChannelSpeakerAge	RightChannelSpeakerGender	RightChannelSpeakerLivingCountry	RightChannelSpeakerAccent
301889	2	1	0:00:00.000	0:00:10.632	00:00:10.632	[n_s/] Magandang umaga ho Maraming salamat po sa pagtawag sa pangkalahatang [eng_start/] insurance [eng_end/] Ako po si "Michelle" Anong pong pwedeng maitulong ko sa inyo	0853715e-c92a-4ece-b73a-6c46249048b9	insurance	00:04:33.29998779296875	8000	16	Audio/0853715e-c92a-4ece-b73a-6c46249048b9.wav	2A49118A-FAB0-44B4-B8D0-AC187E74D471	True	agent	33	Female	Philippines	National Capital Region (Metro Manila)	D9E94E3E-1FF9-466D-B12C-0C1BC08F9463	True	customer	21	Male	Philippines	Guimaras
301890	2	2	0:00:10.781	0:00:19.237	00:00:8.456	[n_s/] [filler/] Magandang umaga din po [filler/] Gusto ko lang po sanang magdagdag ng mga [eng_start/] gadget [eng_end/] sa [n_s/] aking [eng_start/] car insurance [eng_end/] [n_s/]	0853715e-c92a-4ece-b73a-6c46249048b9	insurance	00:04:33.29998779296875	8000	16	Audio/0853715e-c92a-4ece-b73a-6c46249048b9.wav	2A49118A-FAB0-44B4-B8D0-AC187E74D471	True	agent	33	Female	Philippines	National Capital Region (Metro Manila)	D9E94E3E-1FF9-466D-B12C-0C1BC08F9463	True	customer	21	Male	Philippines	Guimaras
301891	2	1	0:00:20.839	0:00:26.145	00:00:5.306	[n_s/] [filler/] Sige ho tutulungan ko po kayo tungkol diyan pwede ko po bang makuha yung buo ninyong pangalan [n_s/]	0853715e-c92a-4ece-b73a-6c46249048b9	insurance	00:04:33.29998779296875	8000	16	Audio/0853715e-c92a-4ece-b73a-6c46249048b9.wav	2A49118A-FAB0-44B4-B8D0-AC187E74D471	True	agent	33	Female	Philippines	National Capital Region (Metro Manila)	D9E94E3E-1FF9-466D-B12C-0C1BC08F9463	True	customer	21	Male	Philippines	Guimaras
301892	2	2	0:00:28.611	0:00:30.697	00:00:2.086	[filler/] [filler/] Meron sa ano	0853715e-c92a-4ece-b73a-6c46249048b9	insurance	00:04:33.29998779296875	8000	16	Audio/0853715e-c92a-4ece-b73a-6c46249048b9.wav	2A49118A-FAB0-44B4-B8D0-AC187E74D471	True	agent	33	Female	Philippines	National Capital Region (Metro Manila)	D9E94E3E-1FF9-466D-B12C-0C1BC08F9463	True	customer	21	Male	Philippines	Guimaras
301893	2	1	0:00:32.644	0:00:40.102	00:00:7.458	Maraming salamat ho pwede niyo rin po bang [n_s/] [filler/] ibigay po sa akin yung numero po [n_s/] [eng_start/] policy [eng_end/]	0853715e-c92a-4ece-b73a-6c46249048b9	insurance	00:04:33.29998779296875	8000	16	Audio/0853715e-c92a-4ece-b73a-6c46249048b9.wav	2A49118A-FAB0-44B4-B8D0-AC187E74D471	True	agent	33	Female	Philippines	National Capital Region (Metro Manila)	D9E94E3E-1FF9-466D-B12C-0C1BC08F9463	True	customer	21	Male	Philippines	Guimaras
301894	2	2	0:00:41.721	0:00:46.001	00:00:4.280	[n_s/] [filler/] [eng_start/] Twenty-nine eighty-nine sixty-five [eng_end/]	0853715e-c92a-4ece-b73a-6c46249048b9	insurance	00:04:33.29998779296875	8000	16	Audio/0853715e-c92a-4ece-b73a-6c46249048b9.wav	2A49118A-FAB0-44B4-B8D0-AC187E74D471	True	agent	33	Female	Philippines	National Capital Region (Metro Manila)	D9E94E3E-1FF9-466D-B12C-0C1BC08F9463	True	customer	21	Male	Philippines	Guimaras
301895	2	1	0:00:48.082	0:01:01.581	00:00:13.499	Maraming salamat ho ngayon ho gusto ko lang pong kumpirmahin sa inyo kung tama po ang [eng_start/] address [eng_end/] ng nakikita ko dito sa aming [eng_start/] file [eng_end/] eto po ay [eng_start/] number two three three [eng_end/] [filler/] "Dasmarinas Cavite" tama po ba	0853715e-c92a-4ece-b73a-6c46249048b9	insurance	00:04:33.29998779296875	8000	16	Audio/0853715e-c92a-4ece-b73a-6c46249048b9.wav	2A49118A-FAB0-44B4-B8D0-AC187E74D471	True	agent	33	Female	Philippines	National Capital Region (Metro Manila)	D9E94E3E-1FF9-466D-B12C-0C1BC08F9463	True	customer	21	Male	Philippines	Guimaras
301896	2	1	0:01:05.817	0:01:12.567	00:00:6.750	[n_s/] [filler/] Sige ho gusto ko lang din pong tanungin kung ilan po ba ang [eng_start/] driver [eng_end/] na gusto nyong idagdag sa [eng_start/] policy [eng_end/]	0853715e-c92a-4ece-b73a-6c46249048b9	insurance	00:04:33.29998779296875	8000	16	Audio/0853715e-c92a-4ece-b73a-6c46249048b9.wav	2A49118A-FAB0-44B4-B8D0-AC187E74D471	True	agent	33	Female	Philippines	National Capital Region (Metro Manila)	D9E94E3E-1FF9-466D-B12C-0C1BC08F9463	True	customer	21	Male	Philippines	Guimaras
301897	2	2	0:01:13.694	0:01:16.614	00:00:2.920	[filler/] [n_s/] Magdaragdag kasi ako ng limang [eng_start/] driver [eng_end/]	0853715e-c92a-4ece-b73a-6c46249048b9	insurance	00:04:33.29998779296875	8000	16	Audio/0853715e-c92a-4ece-b73a-6c46249048b9.wav	2A49118A-FAB0-44B4-B8D0-AC187E74D471	True	agent	33	Female	Philippines	National Capital Region (Metro Manila)	D9E94E3E-1FF9-466D-B12C-0C1BC08F9463	True	customer	21	Male	Philippines	Guimaras
301898	2	1	0:01:19.152	0:01:25.474	00:00:6.322	[filler/] Ganun ho ba sige ho [filler/] pwede ko po bang malaman yung mga edad ng mga [eng_start/] driver [eng_end/] na idadagdag ninyo	0853715e-c92a-4ece-b73a-6c46249048b9	insurance	00:04:33.29998779296875	8000	16	Audio/0853715e-c92a-4ece-b73a-6c46249048b9.wav	2A49118A-FAB0-44B4-B8D0-AC187E74D471	True	agent	33	Female	Philippines	National Capital Region (Metro Manila)	D9E94E3E-1FF9-466D-B12C-0C1BC08F9463	True	customer	21	Male	Philippines	Guimaras
