TranscriptionId	Channel	StartTime	SegmentDuration	Transcription	RecordingId
360110	2	0:00:41.963	00:00:6.522	[n_s/] [filler/] Sige po [eng_start/] ma'am [eng_end/] eto po yung [eng_start/] policy number [eng_end/] ko [eng_start/] ma'am three two five six seven nine three one [eng_end/]	11978114-5357-4f58-b3fe-31ef1d8f64bc
363836	1	0:00:56.440	00:00:8.837	Maraming salamat po [filler/] [eng_start/] Sir [eng_end/] [filler/] nabuksan ko na po ang inyong [eng_start/] account [eng_end/] dito sa aming [eng_start/] system [eng_end/] [filler/] [eng_start/] Sir [eng_end/] ipakumpirma ko na lang po sa inyo yung [filler/] [eng_start/] address [eng_end/] ng inyong tirahan	d85fbb76-4182-4254-9acd-06bd1cb08d6a
303947	1	0:01:27.887	00:00:20.111	[filler/] [n_s/] Para naman po diyan [eng_start/] ma'am [eng_end/] kasi po sa inyong [eng_start/] account [eng_end/] ay [filler/] meron po tayong ilang pagpipilian para po mapababa ang inyong bayarin sa inyong [filler/] [eng_start/] auto insurance [eng_end/] halimbawa po meron po yung taunang pagbabayad ang ikalawang opsyon naman po [filler/] pagbabawas po ng [eng_start/] coverage [eng_end/] at yung isa pang opsyon ay [filler/] pagpapalaki po ng [eng_start/] deductible [eng_end/]	70b72d29-b3c9-49cc-b8b3-782e1e26c5eb
352558	1	0:02:53.261	00:00:12.389	Naku wala pong anuman [eng_start/] ma'am [eng_end/] ikinalulugod ko pong matulungan kayo at [filler/] masagot lahat ng katanungan niyo maraming salamat din po [filler/] meron pa po ba akong maitutulong sa inyo	a74d7c64-f798-4bf0-890e-bca158c9a830
379074	2	0:01:55.460	00:00:13.053	[filler/] Mabuti naman kung ganun "Grace" [filler/] tatanungin ko lang din "Grace" saan ko ba pwedeng i-review ang inyong mga [eng_start/] policy [eng_end/] sa [eng_start/] online [eng_end/] maaari mo bang sabihin sa akin	bc4b2543-21b2-4fcc-bd7c-78eb6b19f3b6
379059	1	0:00:14.851	00:00:7.088	[filler/] Wala pong problema [filler/] posible po ito at maaari ko po bang hingin ang inyong buong pangalan	bc4b2543-21b2-4fcc-bd7c-78eb6b19f3b6
303958	2	0:03:22.606	00:00:8.363	[filler/] Sige [eng_start/] ma'am [eng_end/] [filler/] gusto kong ituloy ang pag-alis ng isa sa mga opsyon [n_s/]	70b72d29-b3c9-49cc-b8b3-782e1e26c5eb
379079	1	0:02:38.290	00:00:31.181	[filler/] Naiintindihan ko po [eng_start/] ma'am [eng_end/] at ma- [n_s/] Interesado po ba kayong sumagot ng isang [eng_start/] survey ma'am [eng_end/] [filler/] Ma'am [eng_end/] sa totoo lang po ay mabilis lang po Ito po ay [eng_start/] survey [eng_end/] para sa kasiyahan ng [eng_start/] customer [eng_end/] [filler/] Mangyayari po ito pagkatapos po ng tawag at meron pong ilang mga katanungan na kailangan niyo pong sagutan at napakahalaga po nito [eng_start/] ma'am [eng_end/] kaya sana po ay makibahagi kayo sa [eng_start/] survey [eng_end/]	bc4b2543-21b2-4fcc-bd7c-78eb6b19f3b6
352553	2	0:02:16.771	00:00:11.415	[filler/] Opo "Nadine Lustre" [eng_start/] at "Gmail" dot com [eng_end/]	a74d7c64-f798-4bf0-890e-bca158c9a830
303961	1	0:03:47.376	00:00:4.087	[filler/] [filler/] sige po ayos lang po pero tawag na lang po kayo ulit kung may tanong po kayo	70b72d29-b3c9-49cc-b8b3-782e1e26c5eb
