TranscriptionId	Channels	Channel	StartTime	EndTime	SegmentDuration	Transcription	RecordingId	Domain	Duration	SampleRate	BitDepth	RelativeFileName	LeftChannelSpeakerId	LeftChannelNative	LeftChannelRole	LeftChannelSpeakerAge	LeftChannelSpeakerGender	LeftChannelSpeakerLivingCountry	LeftChannelSpeakerAccent	RightChannelSpeakerId	RightChannelNative	RightChannelRole	RightChannelSpeakerAge	RightChannelSpeakerGender	RightChannelSpeakerLivingCountry	RightChannelSpeakerAccent
371241	2	1	0:00:00.000	0:00:05.656	00:00:5.656	magandang umaga maraming salamat sa pagtawag sa "A. B. C. Retail" ano po ang aking maipaglilingkod	0c5f4b3c-ac4a-43b2-8469-1986e80ad3f1	retail	00:03:59.67999267578125	8000	16	Audio/0c5f4b3c-ac4a-43b2-8469-1986e80ad3f1.wav	7C995739-18AF-4AA4-B492-E1EE6B431491	True	agent	36	Female	Philippines	Rizal	18A5C5AC-610D-4044-A2E4-F4AC8616EEB2	True	customer	28	Male	Philippines	Cavite
371242	2	2	0:00:07.008	0:00:21.705	00:00:14.697	[n_s/] [filler/] Magandang umaga po [n_s/] [filler/] Hingi lang po sana ko ng [eng_start/] update [eng_end/] sa [eng_start/] account [eng_end/] ko po	0c5f4b3c-ac4a-43b2-8469-1986e80ad3f1	retail	00:03:59.67999267578125	8000	16	Audio/0c5f4b3c-ac4a-43b2-8469-1986e80ad3f1.wav	7C995739-18AF-4AA4-B492-E1EE6B431491	True	agent	36	Female	Philippines	Rizal	18A5C5AC-610D-4044-A2E4-F4AC8616EEB2	True	customer	28	Male	Philippines	Cavite
371243	2	1	0:00:22.738	0:00:30.237	00:00:7.499	[filler/] wala pong anuman [eng_start/] sir [eng_end/] matutulungan ko po kayo ano po ang inyong unang pangalan at apelyido	0c5f4b3c-ac4a-43b2-8469-1986e80ad3f1	retail	00:03:59.67999267578125	8000	16	Audio/0c5f4b3c-ac4a-43b2-8469-1986e80ad3f1.wav	7C995739-18AF-4AA4-B492-E1EE6B431491	True	agent	36	Female	Philippines	Rizal	18A5C5AC-610D-4044-A2E4-F4AC8616EEB2	True	customer	28	Male	Philippines	Cavite
371244	2	2	0:00:31.465	0:00:42.881	00:00:11.416	[n_s/] "Luis Cortez" po "Luis Cortez" at "Gmail" dot com po	0c5f4b3c-ac4a-43b2-8469-1986e80ad3f1	retail	00:03:59.67999267578125	8000	16	Audio/0c5f4b3c-ac4a-43b2-8469-1986e80ad3f1.wav	7C995739-18AF-4AA4-B492-E1EE6B431491	True	agent	36	Female	Philippines	Rizal	18A5C5AC-610D-4044-A2E4-F4AC8616EEB2	True	customer	28	Male	Philippines	Cavite
371245	2	1	0:00:34.586	0:00:37.541	00:00:2.955	[eng_start/] mister [eng_end/] "Cortez" ano po ang inyong [eng_start/] email address [eng_end/]	0c5f4b3c-ac4a-43b2-8469-1986e80ad3f1	retail	00:03:59.67999267578125	8000	16	Audio/0c5f4b3c-ac4a-43b2-8469-1986e80ad3f1.wav	7C995739-18AF-4AA4-B492-E1EE6B431491	True	agent	36	Female	Philippines	Rizal	18A5C5AC-610D-4044-A2E4-F4AC8616EEB2	True	customer	28	Male	Philippines	Cavite
371246	2	1	0:00:41.750	0:00:51.057	00:00:9.307	Maraming salamat po [n_s/] [filler/] Ano po ang [n_s/] maitutulong ko sa inyo [eng_start/] mister [eng_end/] "Cortez"	0c5f4b3c-ac4a-43b2-8469-1986e80ad3f1	retail	00:03:59.67999267578125	8000	16	Audio/0c5f4b3c-ac4a-43b2-8469-1986e80ad3f1.wav	7C995739-18AF-4AA4-B492-E1EE6B431491	True	agent	36	Female	Philippines	Rizal	18A5C5AC-610D-4044-A2E4-F4AC8616EEB2	True	customer	28	Male	Philippines	Cavite
371247	2	2	0:00:50.086	0:00:57.844	00:00:7.758	[n_s/] [filler/] gusto ko po sanang ipabago yung [eng_start/] address [eng_end/] ko sa [eng_start/] file [eng_end/] kase lilipat na po kasi ako ng tirahan	0c5f4b3c-ac4a-43b2-8469-1986e80ad3f1	retail	00:03:59.67999267578125	8000	16	Audio/0c5f4b3c-ac4a-43b2-8469-1986e80ad3f1.wav	7C995739-18AF-4AA4-B492-E1EE6B431491	True	agent	36	Female	Philippines	Rizal	18A5C5AC-610D-4044-A2E4-F4AC8616EEB2	True	customer	28	Male	Philippines	Cavite
371248	2	1	0:00:59.529	0:01:07.037	00:00:7.508	[n_s/] Wala pong anuman [filler/] pupwede po bang mahingi ang lumang [eng_start/] address [eng_end/] na na andito po sa aming	0c5f4b3c-ac4a-43b2-8469-1986e80ad3f1	retail	00:03:59.67999267578125	8000	16	Audio/0c5f4b3c-ac4a-43b2-8469-1986e80ad3f1.wav	7C995739-18AF-4AA4-B492-E1EE6B431491	True	agent	36	Female	Philippines	Rizal	18A5C5AC-610D-4044-A2E4-F4AC8616EEB2	True	customer	28	Male	Philippines	Cavite
371249	2	2	0:01:03.129	0:01:13.079	00:00:9.950	[n_s/] [filler/] Sa "Biñan Laguna" po [n_s/] "Biñan Laguna" po yung lumang [eng_start/] address [eng_end/] nun	0c5f4b3c-ac4a-43b2-8469-1986e80ad3f1	retail	00:03:59.67999267578125	8000	16	Audio/0c5f4b3c-ac4a-43b2-8469-1986e80ad3f1.wav	7C995739-18AF-4AA4-B492-E1EE6B431491	True	agent	36	Female	Philippines	Rizal	18A5C5AC-610D-4044-A2E4-F4AC8616EEB2	True	customer	28	Male	Philippines	Cavite
371250	2	1	0:01:13.407	0:01:23.973	00:00:10.566	[filler/] [eng_start/] okay [eng_end/] po [n_s/] [filler/] nakita [uni/] at [uni/] at ano po ang inyong bagong [eng_start/] address sir [eng_end/]	0c5f4b3c-ac4a-43b2-8469-1986e80ad3f1	retail	00:03:59.67999267578125	8000	16	Audio/0c5f4b3c-ac4a-43b2-8469-1986e80ad3f1.wav	7C995739-18AF-4AA4-B492-E1EE6B431491	True	agent	36	Female	Philippines	Rizal	18A5C5AC-610D-4044-A2E4-F4AC8616EEB2	True	customer	28	Male	Philippines	Cavite
371251	2	2	0:01:24.955	0:01:27.107	00:00:2.152	dito na po ako sa "G. M. A. Cavite"	0c5f4b3c-ac4a-43b2-8469-1986e80ad3f1	retail	00:03:59.67999267578125	8000	16	Audio/0c5f4b3c-ac4a-43b2-8469-1986e80ad3f1.wav	7C995739-18AF-4AA4-B492-E1EE6B431491	True	agent	36	Female	Philippines	Rizal	18A5C5AC-610D-4044-A2E4-F4AC8616EEB2	True	customer	28	Male	Philippines	Cavite
371252	2	1	0:01:28.225	0:01:41.368	00:00:13.143	[eng_start/] Okay [eng_end/] maraming salamat po [eng_start/] so [eng_end/] ang inyo pong lumang [eng_start/] address [eng_end/] ay sa "Biñan Laguna" at ang inyo pong bagong address sa "G. M. A . Cavite" tama po [n_s/]	0c5f4b3c-ac4a-43b2-8469-1986e80ad3f1	retail	00:03:59.67999267578125	8000	16	Audio/0c5f4b3c-ac4a-43b2-8469-1986e80ad3f1.wav	7C995739-18AF-4AA4-B492-E1EE6B431491	True	agent	36	Female	Philippines	Rizal	18A5C5AC-610D-4044-A2E4-F4AC8616EEB2	True	customer	28	Male	Philippines	Cavite
371253	2	2	0:01:35.559	0:01:51.386	00:00:15.827	[n_s/] Opo [filler/] Baka po kasi nawala po yung [eng_start/] gear [eng_end/] dahil nga po [filler/] sa paglipat ko	0c5f4b3c-ac4a-43b2-8469-1986e80ad3f1	retail	00:03:59.67999267578125	8000	16	Audio/0c5f4b3c-ac4a-43b2-8469-1986e80ad3f1.wav	7C995739-18AF-4AA4-B492-E1EE6B431491	True	agent	36	Female	Philippines	Rizal	18A5C5AC-610D-4044-A2E4-F4AC8616EEB2	True	customer	28	Male	Philippines	Cavite
371254	2	1	0:01:41.368	0:01:43.841	00:00:2.473	Ma-update ko na po iyon sa inyong [eng_start/] account [eng_end/]	0c5f4b3c-ac4a-43b2-8469-1986e80ad3f1	retail	00:03:59.67999267578125	8000	16	Audio/0c5f4b3c-ac4a-43b2-8469-1986e80ad3f1.wav	7C995739-18AF-4AA4-B492-E1EE6B431491	True	agent	36	Female	Philippines	Rizal	18A5C5AC-610D-4044-A2E4-F4AC8616EEB2	True	customer	28	Male	Philippines	Cavite
371255	2	1	0:01:52.526	0:02:02.781	00:00:10.255	[filler/] [eng_start/] Sir [eng_end/] [filler/] aalukin ko na rin po kayo na mag-sign up [filler/] para po sa walang papel na pagsingil para po hindi na po kayo mahirapan sa susunod	0c5f4b3c-ac4a-43b2-8469-1986e80ad3f1	retail	00:03:59.67999267578125	8000	16	Audio/0c5f4b3c-ac4a-43b2-8469-1986e80ad3f1.wav	7C995739-18AF-4AA4-B492-E1EE6B431491	True	agent	36	Female	Philippines	Rizal	18A5C5AC-610D-4044-A2E4-F4AC8616EEB2	True	customer	28	Male	Philippines	Cavite
371256	2	2	0:02:04.286	0:02:06.909	00:00:2.623	[n_s/] [filler/] Sige po	0c5f4b3c-ac4a-43b2-8469-1986e80ad3f1	retail	00:03:59.67999267578125	8000	16	Audio/0c5f4b3c-ac4a-43b2-8469-1986e80ad3f1.wav	7C995739-18AF-4AA4-B492-E1EE6B431491	True	agent	36	Female	Philippines	Rizal	18A5C5AC-610D-4044-A2E4-F4AC8616EEB2	True	customer	28	Male	Philippines	Cavite
371257	2	1	0:02:10.575	0:02:21.813	00:00:11.238	[filler/] [n_s/] [eng_start/] sir [eng_end/] kumpirmahin ko lang no na ang mga [eng_start/] bill [eng_end/] ay i-email sa inyo i-email po ngayon	0c5f4b3c-ac4a-43b2-8469-1986e80ad3f1	retail	00:03:59.67999267578125	8000	16	Audio/0c5f4b3c-ac4a-43b2-8469-1986e80ad3f1.wav	7C995739-18AF-4AA4-B492-E1EE6B431491	True	agent	36	Female	Philippines	Rizal	18A5C5AC-610D-4044-A2E4-F4AC8616EEB2	True	customer	28	Male	Philippines	Cavite
371258	2	2	0:02:17.845	0:02:33.016	00:00:15.171	[n_s/] [filler/] [filler/] [eng_start/] Okay [eng_end/] po [filler/] tanong ko lang po kasi may nawawalang [eng_start/] bill [eng_end/] yung sa nawawalang [eng_start/] bill [eng_end/] po [filler/] pano po kaya iyon	0c5f4b3c-ac4a-43b2-8469-1986e80ad3f1	retail	00:03:59.67999267578125	8000	16	Audio/0c5f4b3c-ac4a-43b2-8469-1986e80ad3f1.wav	7C995739-18AF-4AA4-B492-E1EE6B431491	True	agent	36	Female	Philippines	Rizal	18A5C5AC-610D-4044-A2E4-F4AC8616EEB2	True	customer	28	Male	Philippines	Cavite
371259	2	1	0:02:26.334	0:02:29.252	00:00:2.918	[n_s/] Ano po [eng_start/] sir [eng_end/] [n_s/]	0c5f4b3c-ac4a-43b2-8469-1986e80ad3f1	retail	00:03:59.67999267578125	8000	16	Audio/0c5f4b3c-ac4a-43b2-8469-1986e80ad3f1.wav	7C995739-18AF-4AA4-B492-E1EE6B431491	True	agent	36	Female	Philippines	Rizal	18A5C5AC-610D-4044-A2E4-F4AC8616EEB2	True	customer	28	Male	Philippines	Cavite
371260	2	1	0:02:33.993	0:02:48.761	00:00:14.768	[n_s/] [eng_start/] okay sir [eng_end/] pepwede pong macheck niyo yung [eng_start/] email [eng_end/] niyo ngayon para po makasigurado po kayo na na makasigurado po tayo na natanggap niyo ito [n_s/]	0c5f4b3c-ac4a-43b2-8469-1986e80ad3f1	retail	00:03:59.67999267578125	8000	16	Audio/0c5f4b3c-ac4a-43b2-8469-1986e80ad3f1.wav	7C995739-18AF-4AA4-B492-E1EE6B431491	True	agent	36	Female	Philippines	Rizal	18A5C5AC-610D-4044-A2E4-F4AC8616EEB2	True	customer	28	Male	Philippines	Cavite
