TranscriptionId	Channel	StartTime	SegmentDuration	Transcription	RecordingId
357279	2	0:03:05.923	00:00:5.897	[n_s/] [filler/] Wag na lang po [eng_start/] ma'am [eng_end/] paalam po	71786569-03e4-4394-a774-7bf559f86ce7
358423	2	0:01:48.610	00:00:6.432	[filler/] Kailangan pa bang gawin yan May iba pa bang [eng_start/] or [eng_end/] may iba pa bang paraan para mag-set up ng [eng_start/] "Autopay" [eng_end/] ngayon	cbe73873-7e42-4f7d-b7ae-848f26631c59
357257	2	0:00:21.019	00:00:7.399	[filler/] Tanungin ko lang din po sana [eng_start/] ma'am [eng_end/] kung san ba naroon ang numero ng [eng_start/] order [eng_end/] san makikita ito	71786569-03e4-4394-a774-7bf559f86ce7
358422	1	0:01:31.283	00:00:15.803	[filler/] Yung [filler/] bangko po ay [filler/] magpapadala po sa inyo ng alerto kapagka natanggap na po nito yung deposito at [filler/] Ipapaalam ko lang din po sa inyo na pwede po kayong tumawag pabalik sa amin makalipas po matapos ang pagpapatotoo	cbe73873-7e42-4f7d-b7ae-848f26631c59
358414	1	0:00:04.199	00:00:10.576	[filler/] Sige sige po at [filler/] ang [filler/] [eng_start/] account [eng_end/] po ninyo sa bangko ay [filler/] dapat din pong konektado sa [eng_start/] account [eng_end/] ng [eng_start/] credit card [eng_end/] upang ma-enroll po sa [eng_start/] "Autopay" [eng_end/]	cbe73873-7e42-4f7d-b7ae-848f26631c59
329016	1	0:01:45.686	00:00:9.336	[filler/] Sige po [eng_start/] sir [eng_end/] naiintindihan ko po [n_s/] [filler/] [eng_start/] sir [eng_end/] kung pwede po [n_s/] [filler/] paki-on na lang po yung [eng_start/] stereo [eng_end/] at pindutin [n_s/] po ng matagal ang [filler/] ikalimang buton sa [eng_start/] remote control [eng_end/]	1ae485bd-9fc8-4f5b-b88d-3ed5123c4abf
358419	2	0:01:07.626	00:00:4.932	[filler/] Papaano ko ba mapatoto-tohanan yung [filler/] [eng_start/] account [eng_end/] ko sa bangko	cbe73873-7e42-4f7d-b7ae-848f26631c59
329006	1	0:00:22.730	00:00:9.007	[filler/] Ganun ba sige po matutulungan ko naman po [n_s/] kayo [filler/] pwede [n_s/] naman po ito gawin sa pamamagitan ng telepono pero [eng_start/] sir [eng_end/] mahingi ko lang po yung numero ng inyong [eng_start/] item [eng_end/]	1ae485bd-9fc8-4f5b-b88d-3ed5123c4abf
329008	1	0:00:38.959	00:00:17.225	[eng_start/] zero five three one [eng_end/] maraming salamat po [filler/] [eng_start/] sir [eng_end/] saglit lang at titignan ko lang kung ano yung [filler/] [eng_start/] items [eng_end/] ng nasabi niyong numero [filler/] ang nakalagay po kasi dito sa aming [eng_start/] system [eng_end/] [filler/] [eng_start/] zero three five one [eng_end/] po ay [filler/] kung pagkakata- [filler/] kung pagkakatama po ba [n_s/] ay isang [eng_start/] bluetooth speaker [eng_end/] tama [n_s/] po ba [n_s/]	1ae485bd-9fc8-4f5b-b88d-3ed5123c4abf
358418	1	0:00:53.018	00:00:12.592	[eng_start/] okay [eng_end/] maraming salamat po sa impormasyon at ang nais ko lang pong ipaalam sa inyo na [filler/] dapat po mapatotohanan ng [eng_start/] account [eng_end/] ninyo sa bangko at [filler/] aabutin po ito ng hanggang dalawang araw ng negosyo	cbe73873-7e42-4f7d-b7ae-848f26631c59
329014	1	0:01:32.397	00:00:9.367	[filler/] Sige po [eng_start/] sir [eng_end/] nauunawaan ko po [filler/] [eng_start/] sir [eng_end/] kung gusto niyo- [filler/] pumapayag po ba kayo mag-troubleshoot gamit ang telepono [eng_start/] okay [eng_end/] lang po ba [n_s/]	1ae485bd-9fc8-4f5b-b88d-3ed5123c4abf
329026	1	0:03:04.100	00:00:8.267	Walang anuman [eng_start/] sir [eng_end/] Maraming salamat din po [filler/] Para po [n_s/] [filler/] malaman natin at [filler/] maipadala ko yung [eng_start/] email [eng_end/] Pwede [n_s/] ko po bang mahingi ang inyong [eng_start/] email address [eng_end/]	1ae485bd-9fc8-4f5b-b88d-3ed5123c4abf
329017	2	0:01:57.310	00:00:2.324	[filler/] [n_s/] Nagawa ko po [n_s/] itong mapindot [n_s/]	1ae485bd-9fc8-4f5b-b88d-3ed5123c4abf
357277	2	0:02:55.119	00:00:5.205	[filler/] Di na po [eng_start/] ma'am [eng_end/] hindi ko na po kailangan ng iba pang tulong [n_s/]	71786569-03e4-4394-a774-7bf559f86ce7
357271	1	0:01:58.652	00:00:17.185	[filler/] Sige [eng_start/] sir [eng_end/] tignan titingnan ko po ang tindahan [filler/] na may tamang [eng_start/] version [eng_end/] sa [eng_start/] stock [eng_end/] [filler/] Sige [eng_start/] sir [eng_end/] [filler/] maari lamang pong humingi ako ng ilang sandali para ma- matingnan ko po ang imbentaryo [n_s/]	71786569-03e4-4394-a774-7bf559f86ce7
357267	1	0:01:21.162	00:00:10.567	[eng_start/] Sir [eng_end/] aabutin po ito ng matagal para iproseso at maitanong ko lang po kung posible po ba ang pagpunta niyo sa isang lokasyon ng [eng_start/] retail [eng_end/] para magsauli	71786569-03e4-4394-a774-7bf559f86ce7
359508	1	0:03:29.877	00:00:4.780	[n_s/] [filler/] [eng_start/] Ma'am [eng_end/] meron pa po ba kayong ibang katanungan	f96a4634-9b20-43fd-996c-508d552323f3
359500	1	0:02:09.145	00:00:14.600	[filler/] [eng_start/] ma'am [eng_end/] paumanhin na po [eng_start/] ma'am [eng_end/] sa abalang nararanasan niyo ngayon [filler/] pwede ko hong matanong kung bakit niyo po [eng_start/] ma'am [eng_end/] ayaw ipadala ang [eng_start/] item [eng_end/] pabalik [n_s/]	f96a4634-9b20-43fd-996c-508d552323f3
357254	1	0:00:00.000	00:00:7.929	Magandang araw Ako po si "Grace" at maraming salamat sa pagtawag sa "Y. S. [eng_start/] Retail Store" [eng_end/] Ano po ang maitutulong ko	71786569-03e4-4394-a774-7bf559f86ce7
359497	2	0:01:41.609	00:00:10.255	[filler/] [n_s/] Naku problema po ito dahil hindi po kasi [eng_start/] accessible [eng_end/] yung [n_s/] ng pampublikong [filler/] [uni/] yung lugar na binanggit nyo meron ho bang ibang alternatibo	f96a4634-9b20-43fd-996c-508d552323f3
357260	1	0:00:39.181	00:00:22.454	Sige po [eng_start/] sir [eng_end/] hahanapin ko po ang [eng_start/] order [eng_end/] maaari lamang pong maghintay po kayo sandali [n_s/] [eng_start/] okay sir sir [eng_end/] [filler/] maari sabihin ko lang po sa inyo na masyado na pong matagal ang lumipas ng isagawa po ang [eng_start/] order [eng_end/] niyo at hindi na po ito makakansela	71786569-03e4-4394-a774-7bf559f86ce7
329030	1	0:03:47.590	00:00:6.701	Maraming salamat po [eng_start/] sir [eng_end/] at tanong ko lang [eng_start/] sir [eng_end/] ano pa po bang maitutulong ko sa inyo [n_s/]	1ae485bd-9fc8-4f5b-b88d-3ed5123c4abf
329010	1	0:01:02.044	00:00:4.933	[filler/] Sige [eng_start/] sir [eng_end/] maraming salamat po [filler/] maitanong ko lang [eng_start/] sir [eng_end/] ano po ba yung naging diperensya nung [eng_start/] item [eng_end/]	1ae485bd-9fc8-4f5b-b88d-3ed5123c4abf
329019	2	0:02:10.334	00:00:3.590	[n_s/] [filler/] Oo konektado na ito at gumagana na ito ngayon	1ae485bd-9fc8-4f5b-b88d-3ed5123c4abf
329005	2	0:00:12.575	00:00:7.110	[filler/] Tatanong ko lang po sana yung paghingi ng tulong sa [eng_start/] item [eng_end/] na hindi nagawa na kung ano ang ipinangako nitong gawin	1ae485bd-9fc8-4f5b-b88d-3ed5123c4abf
359488	1	0:00:22.685	00:00:7.119	[n_s/] [filler/] Opo [eng_start/] ma'am [eng_end/] matutulungan ko po kayo sa transaksyon pong iyan Maari na lang pong mahingi ang numero po ng [eng_start/] order [eng_end/] [n_s/]	f96a4634-9b20-43fd-996c-508d552323f3
359489	2	0:00:30.530	00:00:5.359	[n_s/] [filler/] Sige po [eng_start/] zero zero three four zero one two [eng_end/]	f96a4634-9b20-43fd-996c-508d552323f3
357262	2	0:00:59.090	00:00:2.581	Pano po yan [eng_start/] ma'am [eng_end/] pano po dapat gawin	71786569-03e4-4394-a774-7bf559f86ce7
357265	1	0:01:13.620	00:00:4.384	[filler/] [eng_start/] Sir [eng_end/] ang [eng_start/] order [eng_end/] po ay naipadala na po noong nakaraang araw	71786569-03e4-4394-a774-7bf559f86ce7
357274	2	0:02:33.349	00:00:6.102	[filler/] [eng_start/] Ma'am [eng_end/] tanungin ko lang din po sana pwede pa bang magsauli kung nabuksan na yung kahon	71786569-03e4-4394-a774-7bf559f86ce7
329023	2	0:02:33.554	00:00:3.676	[filler/] Itanong ko sana kung saan po ba mahahanap ang impor- impormasyong ito	1ae485bd-9fc8-4f5b-b88d-3ed5123c4abf
329011	2	0:01:08.270	00:00:6.267	[filler/] [uni/] ng [eng_start/] salesperson [eng_end/] na gagana ito sa ay- sa "iPhone" pero eto hindi gumagana	1ae485bd-9fc8-4f5b-b88d-3ed5123c4abf
359487	2	0:00:03.880	00:00:16.956	[n_s/] [filler/] Magandang araw po Gusto ko po sana magtanong tungkol po sa pagsasauli ng produkto niyo May binili po kasi akong	f96a4634-9b20-43fd-996c-508d552323f3
329033	2	0:04:16.442	00:00:3.153	[filler/] Maraming salamat din at paalam	1ae485bd-9fc8-4f5b-b88d-3ed5123c4abf
357261	2	0:00:44.395	00:00:2.716	Sige [eng_start/] ma'am [eng_end/] nauu- nauunawaan po kita	71786569-03e4-4394-a774-7bf559f86ce7
329004	1	0:00:00.000	00:00:11.527	[n_s/] Magandang araw ako nga po pala si [eng_start/] sir [eng_end/] "Marvin" maraming salamat po sa pagtawag sa tindahan ng "Santa Maria" Ano pong maitutulong ko sa inyo	1ae485bd-9fc8-4f5b-b88d-3ed5123c4abf
359501	2	0:02:23.291	00:00:8.149	Kasi ang problema po yung [eng_start/] return label [eng_end/] po ay "Fedex" nakita ko po nung tinignan ko [filler/] wala pong lokasyon ng "Fedex" [eng_start/] drop off [eng_end/] dito na malapit sa amin	f96a4634-9b20-43fd-996c-508d552323f3
359510	1	0:03:38.397	00:00:18.865	[n_s/] [filler/] [eng_start/] Ma'am [eng_end/] pwede ko po ba kayong maanyayahan na punan po ang [eng_start/] survey [eng_end/] tungkol po sa kasiyahan ng [eng_start/] customer [eng_end/] [n_s/] mangyayari po ito [eng_start/] ma'am [eng_end/] pagkatapos ng tawag [n_s/]	f96a4634-9b20-43fd-996c-508d552323f3
359495	2	0:01:22.949	00:00:2.771	Sige po [filler/] [eng_start/] zero zero two one [eng_end/]	f96a4634-9b20-43fd-996c-508d552323f3
329032	1	0:04:05.691	00:00:9.078	Maraming salamat din [eng_start/] sir [eng_end/] [filler/] Kinalulugod ko po [n_s/] na makatulong sa inyo [filler/] Kapag [n_s/] po nagkaroon ulit [n_s/] ng problema wag po [n_s/] kayong mahihiyang tumawag Maraming salamat po ulit paalam	1ae485bd-9fc8-4f5b-b88d-3ed5123c4abf
359505	2	0:03:04.284	00:00:2.200	[filler/] mas gusto ko po ay "U. P. S. " sana	f96a4634-9b20-43fd-996c-508d552323f3
358427	1	0:02:37.089	00:00:12.000	[filler/] Salamat na lang po at [filler/] maaari po lamang ay wag niyo po munang ibababa yong telepono pagkatapos pagkatapos po ng tawag na ito para po mai-transfer ko kayo sa [eng_start/] survey [eng_end/] at maraming salamat po	cbe73873-7e42-4f7d-b7ae-848f26631c59
329031	2	0:03:54.090	00:00:8.560	[filler/] [eng_start/] okay [eng_end/] naman na [eng_start/] okay [eng_end/] naman na lahat ng impormasyon na nasabi mo ay nakatulong sa akin wala na po akong iba pang [uni/] yun lamang po at maraming salamat	1ae485bd-9fc8-4f5b-b88d-3ed5123c4abf
358415	2	0:00:17.033	00:00:3.749	[filler/] sige [eng_start/] okay [eng_end/] lang [filler/] magbibigay ako ng impormasyon sa aking [eng_start/] account [eng_end/]	cbe73873-7e42-4f7d-b7ae-848f26631c59
357278	1	0:03:00.521	00:00:11.299	Maraming salamat po [eng_start/] sir [eng_end/] at hilingin ko lang din po na sumali po kayo sa isang [eng_start/] survey [eng_end/] tungkol po sa kasiyahan ng [eng_start/] customer [eng_end/] pagkatapos po ng tawag	71786569-03e4-4394-a774-7bf559f86ce7
329009	2	0:00:57.016	00:00:2.499	[filler/] Oo isa itong [eng_start/] "Bluetooth" speaker [eng_end/]	1ae485bd-9fc8-4f5b-b88d-3ed5123c4abf
357259	2	0:00:34.953	00:00:4.264	[filler/] [eng_start/] Okay [eng_end/] ito pala [eng_start/] Okay three two one four five [eng_end/]	71786569-03e4-4394-a774-7bf559f86ce7
